group_id,Player,careers,Pos,Tm,G,PER,GS,MP,TS,OWS,DWS,WS,BPM,FG,P2,P3
802,Fred Jones,9,SF,LAC,493.0,10.3,90.0,11618.0,0.5,0.9,1.1,2.0,-1.5,0.4,0.4,0.3
803,Fred Roberts,13,C,LAL,858.0,12.5,253.0,15536.0,0.6,1.2,1.0,2.2,-1.9,0.5,0.5,0.4
804,Fred VanVleet,1,PG,TOR,37.0,10.5,0.0,294.0,0.4,-0.1,0.4,0.3,-3.2,0.4,0.3,0.4
805,Fred Vinson,2,SG,SEA,13.0,-2.8,0.0,67.0,0.3,-0.2,0.0,-0.1,-13.8,0.2,0.2,0.2
806,Freeman Williams,5,SG,WSB,147.0,12.3,23.0,2314.0,0.5,0.1,0.0,0.1,-6.8,0.4,0.4,0.3
807,Furkan Aldemir,1,PF,PHI,41.0,12.0,9.0,540.0,0.5,0.7,0.7,1.4,-0.7,0.5,0.5,0.0
808,Gabe Pruitt,2,SG,BOS,62.0,8.0,0.0,461.0,0.4,-0.2,0.4,0.2,-3.8,0.3,0.4,0.3
809,Gal Mekel,2,PG,NOP,35.0,3.0,1.0,335.0,0.3,-0.4,0.0,-0.3,-12.9,0.2,0.3,0.1
810,Garrett Temple,13,SG,SAC,425.0,8.3,126.0,7336.0,0.5,0.0,0.6,0.6,-3.3,0.4,0.4,0.3
811,Garry Witts,1,SF,WSB,46.0,9.5,0.0,493.0,0.6,0.4,0.6,1.1,-0.2,0.6,0.6,0.5
812,Gary Forbes,2,SG,TOR,111.0,12.5,13.0,1504.0,0.5,0.2,0.7,0.8,-2.6,0.4,0.5,0.3
813,Gary Grant,10,PG,POR,543.0,13.4,231.0,12554.0,0.5,-0.2,1.4,1.2,-1.9,0.4,0.5,0.3
814,Gary Harris,3,SG,DEN,188.0,11.4,138.0,4940.0,0.5,1.8,0.8,2.6,-0.9,0.4,0.5,0.3
815,Gary Leonard,1,C,MIN,22.0,6.2,0.0,127.0,0.4,-0.2,0.2,0.0,-7.9,0.4,0.4,0.0
816,Gary Neal,11,SG,ATL,458.0,11.1,35.0,9814.0,0.5,0.5,0.6,1.1,-4.5,0.4,0.4,0.3
817,Gary Payton,1,PG,MIL,6.0,4.5,0.0,99.0,0.4,-0.3,0.1,-0.2,-6.7,0.4,0.5,0.1
818,Gary Payton*,19,PG,MIA,1415.0,18.5,1313.0,50325.0,0.5,5.5,2.7,8.1,2.9,0.5,0.5,0.3
819,Gary Plummer,2,PF,DEN,126.0,8.0,0.0,1439.0,0.5,-0.4,0.6,0.1,-6.1,0.4,0.4,0.1
820,Gary Trent,11,C,MIN,560.0,15.5,150.0,11226.0,0.5,1.3,1.1,2.4,-2.1,0.5,0.5,0.1
821,Gaylon Nickerson,3,SG,WSB,8.0,10.6,0.0,84.0,0.5,0.1,0.0,0.1,-9.0,0.3,0.4,0.0
822,Gene Banks,6,SF,CHI,468.0,14.9,264.0,13074.0,0.6,3.6,1.6,5.2,1.8,0.5,0.5,0.1
823,Geoff Huston,5,PG,LAC,336.0,12.5,186.0,8802.0,0.5,1.7,0.4,2.1,-5.1,0.5,0.5,0.3
824,George Gervin*,5,SG,CHI,387.0,19.7,377.0,12387.0,0.6,5.4,1.3,6.6,-0.4,0.5,0.5,0.3
825,George Hill,9,PG,UTA,599.0,15.6,374.0,17357.0,0.6,3.5,2.5,6.0,2.1,0.5,0.5,0.4
826,George Johnson,5,SF,PHI,342.0,11.7,91.0,6646.0,0.5,-0.1,1.5,1.4,-1.7,0.5,0.5,0.3
827,George Lynch,12,SF,NOH,774.0,12.5,420.0,17683.0,0.5,0.8,1.9,2.7,0.0,0.4,0.5,0.3
828,George McCloud,14,SF,DEN,830.0,12.2,222.0,18922.0,0.5,1.1,0.9,2.0,-1.3,0.4,0.4,0.4
829,George McGinnis,1,PF,IND,76.0,11.3,4.0,1341.0,0.4,-2.5,2.9,0.4,-0.1,0.4,0.4,0.0
830,George Zidek,4,C,SEA,106.0,7.2,4.0,750.0,0.4,-0.1,0.1,0.0,-12.1,0.3,0.3,0.2
831,Georges Niang,1,PF,IND,23.0,0.1,0.0,93.0,0.3,-0.4,0.1,-0.3,-12.1,0.2,0.3,0.1
832,Georgi Glouchkov,1,PF,PHO,49.0,5.7,16.0,772.0,0.5,-1.4,0.9,-0.5,-6.6,0.4,0.4,1.0
833,Georgios Papagiannis,1,C,SAC,22.0,12.7,0.0,355.0,0.6,0.1,0.3,0.4,-2.7,0.5,0.6,0.0
834,Gerald Brown,1,SG,PHO,33.0,7.3,0.0,236.0,0.4,-0.4,0.1,-0.3,-9.1,0.4,0.4,0.3
835,Gerald Fitch,1,PG,MIA,18.0,10.2,1.0,239.0,0.4,-0.1,0.3,0.1,-3.6,0.3,0.4,0.3
836,Gerald Glass,8,SF,CHH,276.0,10.9,54.0,4266.0,0.4,-0.0,0.4,0.4,-4.3,0.4,0.4,0.2
837,Gerald Green,11,SF,BOS,573.0,12.1,116.0,10982.0,0.5,0.5,0.8,1.3,-3.8,0.4,0.4,0.4
838,Gerald Henderson,27,SG,PHI,1470.0,12.0,749.0,34151.0,0.5,1.0,1.0,2.0,-2.6,0.4,0.5,0.3
839,Gerald Madkins,3,SG,GSW,48.0,7.4,0.0,420.0,0.5,-0.0,0.1,0.1,-5.9,0.4,0.3,0.4
840,Gerald Paddio,4,SF,WSB,137.0,11.5,26.0,1699.0,0.4,-0.2,0.2,0.0,-5.9,0.4,0.4,0.1
