solo_competitive_rank,rank_tier,competitive_rank,mmr_estimate,leaderboard_rank,account_id,personaname,name,plus,cheese,steamid,avatar,avatarmedium,avatarfull,profileurl,last_login,loccountrycode,status,is_contributor,is_subscriber
3065.0,,2561.0,{'estimate': 2916},,190375861,油炸豆腐,,False,0,76561198150641589,https://avatars.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb.jpg,https://avatars.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_medium.jpg,https://avatars.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_full.jpg,https://steamcommunity.com/profiles/76561198150641589/,,,,False,False
,24.0,,{'estimate': 2667},,279963686,>>>,,False,0,76561198240229414,https://avatars.steamstatic.com/31b7c5326559d950ff9e8e1ebc1b636c3540364c.jpg,https://avatars.steamstatic.com/31b7c5326559d950ff9e8e1ebc1b636c3540364c_medium.jpg,https://avatars.steamstatic.com/31b7c5326559d950ff9e8e1ebc1b636c3540364c_full.jpg,https://steamcommunity.com/profiles/76561198240229414/,,,,False,False
,31.0,,{'estimate': 3058},,1003187889,jampong,,False,0,76561198963453617,https://avatars.steamstatic.com/7258a7519bbfeb05a1084d6aac97e29f4e6d9519.jpg,https://avatars.steamstatic.com/7258a7519bbfeb05a1084d6aac97e29f4e6d9519_medium.jpg,https://avatars.steamstatic.com/7258a7519bbfeb05a1084d6aac97e29f4e6d9519_full.jpg,https://steamcommunity.com/profiles/76561198963453617/,,,,False,False
,,2150.0,{'estimate': 2440},,374173521,Tiakcukcam,,False,0,76561198334439249,https://avatars.steamstatic.com/e9270b4d85f1d5818b5782e480a1e382d8e018c9.jpg,https://avatars.steamstatic.com/e9270b4d85f1d5818b5782e480a1e382d8e018c9_medium.jpg,https://avatars.steamstatic.com/e9270b4d85f1d5818b5782e480a1e382d8e018c9_full.jpg,https://steamcommunity.com/profiles/76561198334439249/,,,,False,False
,80.0,,{'estimate': 3944},4341.0,89026526,失踪人口,,False,0,76561198049292254,https://avatars.steamstatic.com/39f48116121e4e269386634c7bec564e85dd558c.jpg,https://avatars.steamstatic.com/39f48116121e4e269386634c7bec564e85dd558c_medium.jpg,https://avatars.steamstatic.com/39f48116121e4e269386634c7bec564e85dd558c_full.jpg,https://steamcommunity.com/profiles/76561198049292254/,,,,False,False
4345.0,80.0,2643.0,{'estimate': 4580},3318.0,214464143,я такая же хуйня,,False,0,76561198174729871,https://avatars.steamstatic.com/0484ad7698bf1ddb8e131819c213e06c07e9e85f.jpg,https://avatars.steamstatic.com/0484ad7698bf1ddb8e131819c213e06c07e9e85f_medium.jpg,https://avatars.steamstatic.com/0484ad7698bf1ddb8e131819c213e06c07e9e85f_full.jpg,https://steamcommunity.com/profiles/76561198174729871/,2021-12-28T12:05:08.187Z,NE,,False,False
,80.0,,{'estimate': 4610},4478.0,1046463492,Компот веселья,,False,0,76561199006729220,https://avatars.steamstatic.com/905da7376fb425133d7e7c4b56cd86297c5c347b.jpg,https://avatars.steamstatic.com/905da7376fb425133d7e7c4b56cd86297c5c347b_medium.jpg,https://avatars.steamstatic.com/905da7376fb425133d7e7c4b56cd86297c5c347b_full.jpg,https://steamcommunity.com/profiles/76561199006729220/,,,,False,False
,,,{'estimate': 3943},,73155079,Noah,,False,0,76561198033420807,https://avatars.steamstatic.com/1cd6b3fad026a2dfd02f21f4c79665de45edc678.jpg,https://avatars.steamstatic.com/1cd6b3fad026a2dfd02f21f4c79665de45edc678_medium.jpg,https://avatars.steamstatic.com/1cd6b3fad026a2dfd02f21f4c79665de45edc678_full.jpg,https://steamcommunity.com/profiles/76561198033420807/,,,,False,False
,80.0,,{'estimate': 5484},1083.0,458624011,sin,,False,0,76561198418889739,https://avatars.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb.jpg,https://avatars.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_medium.jpg,https://avatars.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_full.jpg,https://steamcommunity.com/profiles/76561198418889739/,,,,False,False
,80.0,,{'estimate': 4472},3501.0,922664462,嘻嘻,,False,0,76561198882930190,https://avatars.steamstatic.com/83643a9b99ef68298cb305a615c8310693a9331c.jpg,https://avatars.steamstatic.com/83643a9b99ef68298cb305a615c8310693a9331c_medium.jpg,https://avatars.steamstatic.com/83643a9b99ef68298cb305a615c8310693a9331c_full.jpg,https://steamcommunity.com/profiles/76561198882930190/,,,,False,False
